Año	Título	Corpus estilométrico
1946	Atrevida apuesta	Sí
1947	Boda clandestina	Sí
1948	Incomprensión	No
1948	La hija de mi jefe	No
1949	¡Era el amor!	No
1949	¡No quiero a esta mujer!	No
1949	Diablillo	No
1949	Era el amor	No
1949	La isla dorada	Sí
1949	Nos venció el amor	No
1949	Semilla de odios	Sí
1950	Aquella niña tonta	No
1950	¡Porque no eres como todos!	Sí
1950	¡Si yo coqueteara!	No
1950	Alma	No
1950	Almas en la sombra	No
1950	Cupido se burló de Mari-Dena	No
1950	Entre dos luces	Sí
1950	¡Guerra al amor!	Sí
1950	Irene tienta al misántropo	Sí
1950	La última noche	No
1950	Lo hice por tu amor	Sí
1950	Novia después de esposa	No
1950	Sucedió callando	Sí
1950	Timidez y pasión	Sí
1950	Tristeza de amar	Sí
1951	¡Bendita seas!	Sí
1951	¡Todo por ella!	No
1951	¿Quién tuvo la culpa?	Sí
1951	…Y soñó su felicidad	No
1951	Corazón indómito	Sí
1951	Desdeño ese amor	Sí
1951	Después de aquella noche	Sí
1951	Destinos de amor	Sí
1951	Él era así	Sí
1951	Esclava de un amor	No
1951	Matrimonio por seis meses	Sí
1951	Mi novio, el afilador	Sí
1951	Renuncio a tu perdón	No
1951	Si no fueras tú…	Sí
1951	Tú eres el culpable	Sí
1951	Tuyo es mi corazón	Sí
1951	Volverás a mí	Sí
1952	¡Aquella muchacha!	Sí
1952	¡Tú no eres nadie!	Sí
1952	Alix Efimovitch	Sí
1952	Dany Amorós	No
1952	De distinto color	No
1952	El destino manda	Sí
1952	Ella entre los dos	Sí
1952	Eres mi esposa	No
1952	Éste es mi quinto	Sí
1952	Isabel	Sí
1952	Más allá de la senda	Sí
1952	No pensé en mí	Sí
1952	No te olvidé nunca	No
1952	Otra mujer en su vida	Sí
1952	Una mujer fea	Sí
1953	¡¡Bonita… bonita!!	No
1953	¿Cuál de los cuatro?	No
1953	¿Una mujer peligrosa?	No
1953	Dolly	No
1953	Dos almas recias	No
1953	El destino tiene la palabra	Sí
1953	Es mi marido	No
1953	La noche trajo un amor	No
1953	Me casaré contigo	Sí
1953	Prisionero en sus redes	No
1953	Solos tú y yo	No
1953	Un hombre vulgar	No
1953	Un misterio en su vida	No
1953	Una chica decidida	No
1953	Una mamá para Ana	Sí
1953	Una mujer ambiciosa	No
1954	Compraré un marido	No
1954	Dos rostros y una mujer	No
1954	El desengaño de Nancy	No
1954	El pasado no es nuestro	Sí
1954	Frívola	No
1954	La indecisión de Cris	No
1954	La mujer de mi amigo	Sí
1954	Leonor	No
1954	Loco corazón	No
1954	No debo casarme contigo	No
1954	No soy lo que piensas	Sí
1954	Noche de bodas	No
1954	Su gran delito	Sí
1954	Su pecado	No
1954	Te quiero de esta manera	Sí
1954	Tengo otro amor	Sí
1954	Un soltero peligroso	No
1954	Una novia para dos	No
1955	¡Malditos besos!	Sí
1955	Almas gemelas	Sí
1955	Carolina	No
1955	Corazón torturado	No
1955	Deliciosa locura	Sí
1955	El secreto de Ruth	No
1955	Había renunciado	Sí
1955	La boda de Ivonne	Sí
1955	La colegiala	Sí
1955	La maestra	No
1955	Quiero tu amor	Sí
1955	Raíces de pecado	No
1955	Un día contigo	No
1955	Un hombre y una mujer	Sí
1955	Un pasado vulgar	No
1956	¿Quieres ser mi mujer?	Sí
1956	Casado por ambición	Sí
1956	Cruel ingratitud	No
1956	De otra raza	Sí
1956	El pasado de Mauri	No
1956	Ella era así	Sí
1956	Esclava del deber	No
1956	Fuego en el corazón	No
1956	La molinera	No
1956	Matrimonio obligado	Sí
1956	Parecía imposible	Sí
1956	Su venganza	No
1956	Timidez y amor	Sí
1956	Una chica loca	Sí
1956	Yira	Sí
1956	Yo soy ella	No
1957	Casémonos	Sí
1957	El marido de Laura	Sí
1957	El primer beso	No
1957	El recuerdo de aquel día	Sí
1957	Estamos casados	Sí
1957	Éste es mi tutor	No
1957	Historia de dos mujeres	Sí
1957	La boda de Anita	Sí
1957	La mentira de Sofía	Sí
1957	La novia de mi hermano	Sí
1957	La pesadilla de Diana	No
1957	La rebelde Cris	Sí
1957	La sorpresa de Lina	No
1957	Mi secretaria	Sí
1957	Primavera en los ojos	No
1957	Su majestad, la reina	Sí
1957	Un secreto entre los dos	Sí
1958	Aquel matrimonio	Sí
1958	Casada por poderes	No
1958	Conflicto sentimental	No
1958	Diario de una enfermera	Sí
1958	Diario de una madre	Sí
1958	El complejo de Mary-Chon	Sí
1958	El infiel	No
1958	El problema de Sara	No
1958	Ella y él	No
1958	Esto ocurrió a Cecile	No
1958	Flor María	Sí
1958	He vuelto para ti	Sí
1958	Helen se divierte	Sí
1958	Inesperadamente	Sí
1958	La imagen de una mujer	Sí
1958	La máscara de una mujer	Sí
1958	La modelo	No
1958	Llegó la colegiala	Sí
1958	Lucha oculta	No
1958	María Eugenia	Sí
1958	Matrimonio singular	Sí
1958	No puedo creer en ti	No
1958	Pasaje de una vida	Sí
1958	Realidad de una vida	No
1958	Tras el olvido	Sí
1958	Tuviste que ser mía	Sí
1958	Un hombre galante	No
1958	Yo soy aquella chica	Sí
1959	Aquel minuto	Sí
1959	Caprichos de millonario	Sí
1959	Creo ser un buen hombre	Sí
1959	Cuidado con el amor	Sí
1959	Deseo un millonario	Sí
1959	El caso de la maestra	No
1959	El castillo de Wiertel	Sí
1959	El compromiso de Ana	Sí
1959	El destino esperaba allí	Sí
1959	El orgullo de Milady	Sí
1959	El papá de Sallie	Sí
1959	El pasado de Tab North	No
1959	En pos de la fortuna	Sí
1959	La encontré en mi camino	Sí
1959	La historia de una mujer	Sí
1959	La inquieta Ana	Sí
1959	La invitada	Sí
1959	La mujer de hielo	Sí
1959	La profesora	Sí
1959	La sombra de otro amor	Sí
1959	La venganza de Marige	Sí
1959	Las inquietudes de Patricia	Sí
1959	Me casé ayer	No
